,Fecha,Total de Fallecidos,Ruta,Tipo de Aeronave,Total A Bordo,Resumen del Incidente,Año,Tasa de Mortalidad,Descripción,Descripción,Resumen de incidente
2414,1985-08-12,520.0,"Mt. Osutaka, near Ueno Village, Japan",Boeing B-747-SR46,524.0,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song ""Sukiyaki"" was killed in the accident.",1985.0,0.9923664122137404,,,
3130,1996-11-12,349.0,"Near Charkhi Dadri, India",Boeing B-747-168B / Ilyushin IL-76TD,349.0,"Midair collision 17 km W of New Delhi.  The Saudi 747 had just taken off from New Delhi airport ascending to 14,000 feet while the Il-76 was descending. Three hundred twelve aboard the B-747 and thirty-seven aboard the Il-76 were killed. The Il-76 descended below its assigned altitude. The death toll was reduced from 351 to 349 after Kazakstan Airlines reported 37 aboard rather than 39. Neither aircraft was equipped with an Airborne Collision Avoidance System. The 747 had taken off from Delhi and had been cleared to climb to FL140.  Meanwhile, the IL76, which was inbound to Delhi on the same airway, had been cleared to descend to FL150. However, due to a misunderstanding, the pilot and most of the cockpit crew of the IL76 believed the flight had been cleared to continue down to FL140. The Indian accident report attributed the failure of most of the IL76 crew to correctly understand the situation due to their lack of a working knowledge of English. Also contributing to the crew's decision to continue the descent below their clearance limit were poor cockpit resource management, a lack of leadership by the captain, a lack of co-ordination between the crew and a general casual attitude to the conduct of the flight.",1996.0,1.0,,,
2410,1985-06-23,329.0,"Atlantic Ocean, 110 miles West of Ireland",Boeing B-747-237B,329.0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named "" Emperor Kanishka.""",1985.0,1.0,,,
2166,1980-08-19,301.0,"Riyadh, Saudi Arabia",Lockheed 1011-200 TriStar,301.0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation.",1980.0,1.0,,,
3968,2014-07-17,298.0,"Hrabove, Ukraine",Boeing 777-2H6ER,298.0,"A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed.",2014.0,1.0,,,
2573,1988-07-03,290.0,"Over the Persian Gulf, near Bandar Abbas, Iran",Airbus A300B2-203,290.0,"The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner.",1988.0,1.0,,,
3506,2003-02-19,275.0,"Near Shahdad, Iran",Ilyushin Il-76MD,275.0,"The plane crashed into an 11,500 ft.  mountain in poor weather, about 20 miles from its destination of Kerman. Besides the 18 crew members, the victims included Iran's Revolutionary Guard.",2003.0,1.0,,,
2317,1983-09-01,269.0,"Near Sakhalin Island, Russia",Boeing B-747-230B,269.0,"On a flight from Alaska to South Korea, the airliner drifted off course and twice penetrated Soviet airspace.  During the second penetration, the airliner was shot down by a Russian Su-15 Air Force fighter with air-to-air missiles. The aircraft crashed into international waters in the Sea of Japan. U.S. Representative from Georgia Lawrence McDonald killed. Because of an improper navigational setting the plane drifted off course. There was a U.S. spy plane in the vacinity of the 007 flight. The 007 plane was mistaken for the spy plane. The fighter pilot was ordered by Soviet command to shoot down the plane. Two air-to-air missiles were launched by the  fighter and struck the Boeing 747. Cabin pressure was lost and the aircraft suffered control problems, causing the plane to go into a dive and break up, crashing into the ocean.",1983.0,1.0,,,
2961,1994-04-26,264.0,"Near Komaki, Aichi, Japan",Airbus A300B4-622R,271.0,"While on ILS approach to Nagoya Airport, at an altitude of 1,000 feet, the first officer inadvertently triggered the TOGA (take-off-go-around) lever. The crew tried to override this situation by turning off the autothrottle and reducing air speed. The aircraft stalled, hit the runway tail first and burst into flames. The plane crashed because of an extreme out of trim configuration brought about by the fact that the tailplane setting had moved automatically and undetected to a maximum nose-up position. The plane climbed at a steep angle until it stalled. The crew could have saved the aircraft even in the final seconds had they reverted to basic flight procedures and switched off the autopilot.",1994.0,0.974169741697417,,,
2786,1991-07-11,261.0,"Jeddah, Saudi Arabia",McDonnell Douglas DC-8 Super 61,261.0,"After taking off, fire was reported in the landing gear well. The aircraft crashed while trying to return to the airport. Loss of hydraulics and electrical systems after a fire, started in the wheel when two tires disintegrated due to under inflation of one tire. This caused a fire which ignited years of accumulated flammables in the DC-8's wheel well leading to an uncontroable fire. The plane was allowed to leave with an under inflated tire. Twenty minutes prior to departure, the Nationair lead mechanic made a request for nitrogen to inflate the low tire. Nitrogen was not readily available and a delay would probably have occur procuring it. The Nationair project manager, without conferring with the flight crew, released the plane.",1991.0,1.0,,,
0,,,,,,,,,"Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento.","Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento.","Falla presión trasera, control difícil, pérdida controles, colisión montaña, reparación incorrecta, ingenieros Boeing, golpe de cola, peor desastre aviación, Kyu Sakamoto, Sukiyaki, fallecimiento."
1,,,,,,,,,"Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual.","Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual.","Falta de sistema de evitación de colisiones aéreas, error de comprensión, falta de conocimiento del inglés, gestión deficiente en cabina, falta de liderazgo, falta de coordinación, actitud casual."
2,,,,,,,,,"Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'.","Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'.","Desintegración en vuelo, explosión en compartimento de carga, terrorista, Vancouver, Canadá, equipaje con bombas, vuelo 182, explosión en aeropuerto, asesinato de manipuladores de equipaje, avión 'Emperor Kanishka'."
3,,,,,,,,,"Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina.","Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina.","Incendio en compartimento de carga trasero, retorno al aeropuerto, retraso en evacuación, muerte por humo y fuego, decisión de no ordenar evacuación de emergencia, aterrizaje normal en lugar de máximo frenado, retraso en apagar el fuego, apertura tardía de las puertas, falta de preparación del capitán para la evacuación inmediata de la tripulación de cabina."
4,,,,,,,,,"Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron.","Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron.","Avión Boeing 777-200 de Malaysia Airlines vuelo 17, accidente en Donetsk, Ucrania. Impacto de misil Buk ruso, explosión cerca de la cabina, esparcimiento de escombros, todas las personas a bordo fallecieron."
5,,,,,,,,,"El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire.","El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire.","El avión civil iraní fue derribado por el buque de la Armada de los Estados Unidos, el U.S.S. Vincennes, utilizando misiles tierra-aire."
6,,,,,,,,,"El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán.","El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán.","El avión se estrelló contra una montaña de 11,500 pies de altura en malas condiciones climáticas, aproximadamente a 20 millas de su destino en Kerman. Las víctimas incluyeron a los Guardias Revolucionarios de Irán."
7,,,,,,,,,"Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón.","Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón.","Vuelo Alaska-Corea del Sur, Confusión con avión espía, Misiles aire-aire, Mar de Japón."
8,,,,,,,,,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.,El avión se estrelló debido a una configuración extremadamente desequilibrada causada por el hecho de que el ajuste del estabilizador horizontal se movió automáticamente y sin ser detectado a una posición máxima de morro hacia arriba.
9,,,,,,,,,"Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos.","Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos.","Después de despegar, se informó de un incendio en el compartimento del tren de aterrizaje. El avión se estrelló mientras intentaba regresar al aeropuerto. Se produjo una pérdida de sistemas hidráulicos y eléctricos después de que se iniciara un incendio en la rueda cuando dos neumáticos se desintegraron debido a la falta de inflado de uno de ellos."
